Package|    License|        Source of License Information|  Comments|       License/Copyright Links/References
libxcb-render-util0 |	MIT	|NA|	part of libxcb|	NA|
libxcb-util1 |	MIT	|NA|	part of libxcb|	NA|
make |	GPL-3+	|NA|	NA|	NA|
node-abbrev |	Apache-2.0	|ubuntu.com|	NA|	http://packages.ubuntu.com/xenial/all/node-abbrev/filelist|
node-ansi |	Apache-2.0	|ubuntu.com|	NA|	http://packages.ubuntu.com/xenial/all/node-ansi/filelist|
node-ansi-color-table |	Apache-2.0	|ubuntu.com|	NA|	http://packages.ubuntu.com/xenial/all/node-ansi-color-table/filelist|
node-archy |	MIT	|ubuntu.com|	NA|	http://packages.ubuntu.com/xenial/all/node-archy/filelist|
node-block-stream |	BSD License	|ubuntu.com|	NA|	http://packages.ubuntu.com/xenial/all/node-block-stream/filelist|
node-cookie-jar |	Apache-2.0	|ubuntu.com|	NA|	http://packages.ubuntu.com/xenial/all/node-cookie-jar/filelist|
node-forever-agent |	Apache-2.0	|ubuntu.com|	NA|	http://packages.ubuntu.com/xenial/all/node-forever-agent/filelist|
node-fstream |	Apache-2.0	|ubuntu.com|	NA|	http://packages.ubuntu.com/xenial/all/node-fstream/filelist|
node-fstream-ignore |	Apache-2.0	|ubuntu.com|	NA|	http://packages.ubuntu.com/xenial/all/node-fstream-ignore/filelist|
node-github-url-from-git |	MIT	|ubuntu.com|	NA|	http://packages.ubuntu.com/xenial/all/node-github-url-from-git/filelist|
node-inherits |	ISC License	|ubuntu.com|	NA|	http://packages.ubuntu.com/xenial/all/node-inherits/filelist|
node-ini |	MIT	|ubuntu.com|	NA|	http://packages.ubuntu.com/xenial/all/node-ini/filelist|
node-json-stringify-safe |	Apache-2.0	|ubuntu.com|	NA|	http://packages.ubuntu.com/xenial/all/node-json-stringify-safe/filelist|
node-lockfile |	Apache-2.0	|ubuntu.com|	NA|	http://packages.ubuntu.com/xenial/all/node-lockfile/filelist|
node-lru-cache |	ISC License	|ubuntu.com|	NA|	http://packages.ubuntu.com/xenial/all/node-lru-cache/filelist|
node-minimatch |	Apache-2.0	|ubuntu.com|	NA|	http://packages.ubuntu.com/xenial/all/node-minimatch/filelist|
node-nopt |	Apache-2.0	|ubuntu.com|	NA|	http://packages.ubuntu.com/xenial/all/node-nopt/filelist|
node-normalize-package-data |	Apache-2.0	|ubuntu.com|	NA|	http://packages.ubuntu.com/xenial/all/node-normalize-package-data/filelist|
node-npmlog |	Apache-2.0	|ubuntu.com|	NA|	http://packages.ubuntu.com/xenial/all/node-npmlog/filelist|
node-once |	Apache-2.0	|ubuntu.com|	NA|	http://packages.ubuntu.com/xenial/all/node-once/filelist|
node-osenv |	Apache-2.0	|ubuntu.com|	NA|	http://packages.ubuntu.com/xenial/all/node-osenv/filelist|
node-read |	Apache-2.0	|ubuntu.com|	NA|	http://packages.ubuntu.com/xenial/all/node-read/filelist|
node-read-package-json |	Apache-2.0	|ubuntu.com|	NA|	http://packages.ubuntu.com/xenial/all/node-read-package-json/filelist|
node-rimraf |	Apache-2.0	|ubuntu.com|	NA|	http://packages.ubuntu.com/xenial/all/node-rimraf/filelist|
